category,product,avoid_score,validated_alpha_score,liquidity_score,avg_spread,ret_vol,mean_reversion_score,reason
microchips,MICROCHIP_TRIANGLE,0.3094756473540397,25.198987266832802,1.5091019322249053,8.635433333333333,14.458638143993554,0.0309880876589243,few validated global edges and/or unattractive spread/liquidity
translators,TRANSLATOR_GRAPHITE_MIST,0.2298496178229917,25.245491484369985,2.493750022188968,8.9121,10.123448387388086,0.045002051769896904,few validated global edges and/or unattractive spread/liquidity
robotics,ROBOT_LAUNDRY,0.23440767622254774,25.454157724584856,2.258320852943577,7.165066666666667,9.80546934006678,0.0617738964890133,few validated global edges and/or unattractive spread/liquidity
translators,TRANSLATOR_ASTRO_BLACK,0.22433172246082952,25.837100294269085,2.8906654263872404,8.3664,9.438450893883997,0.03424987710797436,few validated global edges and/or unattractive spread/liquidity
galaxy_sounds,GALAXY_SOUNDS_SOLAR_FLAMES,0.22502886855800153,25.934901121200703,2.595110283284096,14.071533333333335,11.093421228732632,0.04299807714820189,few validated global edges and/or unattractive spread/liquidity
galaxy_sounds,GALAXY_SOUNDS_DARK_MATTER,0.21156416624110908,26.43894507864158,2.7981327607468596,13.050833333333335,10.243923782258081,0.04743065192060969,few validated global edges and/or unattractive spread/liquidity
microchips,MICROCHIP_OVAL,0.2596397599234048,27.046533044947623,2.209208328614207,7.449766666666666,12.285350933937655,0.020799825034758666,few validated global edges and/or unattractive spread/liquidity
translators,TRANSLATOR_ECLIPSE_CHARCOAL,0.2327733587320634,27.129727555623003,2.603901930814194,8.700433333333335,9.855714762831575,0.03019570498019378,few validated global edges and/or unattractive spread/liquidity
oxygen_shakes,OXYGEN_SHAKE_GARLIC,0.2468390538266507,27.274229328180144,2.433971370457838,15.0546,11.991996164456774,0.02228551688437468,few validated global edges and/or unattractive spread/liquidity
microchips,MICROCHIP_RECTANGLE,0.2610075459513429,27.933495382246477,1.8472572456027798,7.885766666666666,13.100535075898714,0.038305693717948175,few validated global edges and/or unattractive spread/liquidity
galaxy_sounds,GALAXY_SOUNDS_SOLAR_WINDS,0.2430647718889435,28.408256925132054,2.747963971378183,13.301266666666669,10.53346936420913,0.010198216709018456,few validated global edges and/or unattractive spread/liquidity
panels,PANEL_2X4,0.25859667357489624,28.41328014302099,2.2119347534123737,9.8405,11.275923706999228,0.01669547022945433,few validated global edges and/or unattractive spread/liquidity
oxygen_shakes,OXYGEN_SHAKE_MINT,0.22160475292087256,28.580518179016398,2.9028233474469496,12.593566666666668,9.878140692097357,0.02620364767120215,few validated global edges and/or unattractive spread/liquidity
sleep_pods,SLEEP_POD_POLYESTER,0.24286133349425698,28.6995833371706,2.1222729977297465,10.295700000000002,11.862788974716167,0.036210458181545745,few validated global edges and/or unattractive spread/liquidity
sleep_pods,SLEEP_POD_COTTON,0.2677357327502151,28.89082303653836,2.1698996772440093,10.050199999999998,11.649722872109331,0.008095444076537126,few validated global edges and/or unattractive spread/liquidity
oxygen_shakes,OXYGEN_SHAKE_EVENING_BREATH,0.19131421559681389,29.040467129163034,3.0787045425133375,11.860466666666667,10.934506664639143,0.15839709179885075,few validated global edges and/or unattractive spread/liquidity
snackpacks,SNACKPACK_VANILLA,0.24635071171687759,29.210642606119833,3.497253202016237,16.868666666666666,6.512891231666226,0.039176110157122836,few validated global edges and/or unattractive spread/liquidity
snackpacks,SNACKPACK_PISTACHIO,0.2520034475668243,29.83835099436717,3.704708385368578,15.925633333333332,5.237370434940469,0.08022303035772642,few validated global edges and/or unattractive spread/liquidity
robotics,ROBOT_DISHES,0.2271095152076516,29.84338147318731,2.089560575970474,7.350266666666667,15.712819031146106,0.12684835999229926,few validated global edges and/or unattractive spread/liquidity
snackpacks,SNACKPACK_CHOCOLATE,0.23177419681283848,30.200722151971146,3.582004794734822,16.471166666666665,6.575484284353475,0.044596687501931416,few validated global edges and/or unattractive spread/liquidity
uv_visors,UV_VISOR_MAGENTA,0.2022024224341896,30.338517941039626,2.5959608384145336,14.0916,11.191435795448875,0.058535114752877974,few validated global edges and/or unattractive spread/liquidity
snackpacks,SNACKPACK_STRAWBERRY,0.21266164950699515,31.437474904881444,3.311748083736991,17.826466666666665,8.13280743826411,0.0563135800312346,few validated global edges and/or unattractive spread/liquidity
microchips,MICROCHIP_SQUARE,0.344817916037307,36.317725018945744,1.0303202338955695,11.7188,20.54119895387046,0.03785899141726489,few validated global edges and/or unattractive spread/liquidity
snackpacks,SNACKPACK_RASPBERRY,0.18094650032228904,41.046627545031626,3.5025609183095647,16.842466666666667,8.091587880968365,0.06417513923214045,few validated global edges and/or unattractive spread/liquidity
pebbles,PEBBLES_S,0.2115436695411295,41.620741577677805,2.1602079996798866,11.551533333333333,15.019624915530642,0.033660038081665324,few validated global edges and/or unattractive spread/liquidity
pebbles,PEBBLES_XS,0.16535862780959137,42.76307159149949,2.8459884197630174,9.744866666666667,15.051810505222273,0.05696850243182714,few validated global edges and/or unattractive spread/liquidity
pebbles,PEBBLES_L,0.22902775452457105,43.3661058064701,1.9067228712305158,13.0205,15.024691511442748,0.028607521023567437,few validated global edges and/or unattractive spread/liquidity
pebbles,PEBBLES_M,0.20702127810167736,44.28142293638616,1.8944559420633296,13.1209,15.132741320341973,0.050844094570283625,few validated global edges and/or unattractive spread/liquidity
pebbles,PEBBLES_XL,0.21373451026319418,71.86699438775281,1.5049772972402418,16.630766666666666,30.312633418002587,0.0852444559404039,few validated global edges and/or unattractive spread/liquidity
