target,train_day,test_day,coef_json,train_resid_std,test_resid_std,test_adf_t,test_half_life,test_z_reversion_corr_20
PEBBLES_M,2,4,"{'PEBBLES_XS': -0.99968, 'PEBBLES_S': -0.999966, 'PEBBLES_L': -0.999802, 'PEBBLES_XL': -0.999831, 'intercept': 49992.728758}",2.8144342240763662,2.8207730845021293,-98.71925775326947,0.7020906114554202,0.7106069931740228
PEBBLES_M,3,2,"{'PEBBLES_XS': -0.999993, 'PEBBLES_S': -0.999913, 'PEBBLES_L': -0.999792, 'PEBBLES_XL': -0.999841, 'intercept': 49994.865529}",2.7568102500865,2.819180510174373,-97.55890290001764,0.7105987463865072,0.7082941154358183
PEBBLES_M,3,4,"{'PEBBLES_XS': -0.999993, 'PEBBLES_S': -0.999913, 'PEBBLES_L': -0.999792, 'PEBBLES_XL': -0.999841, 'intercept': 49994.865529}",2.7568102500865,2.8246867913590843,-98.45854063947971,0.7039753598931672,0.7096632352850379
PEBBLES_M,4,2,"{'PEBBLES_XS': -0.999589, 'PEBBLES_S': -1.000187, 'PEBBLES_L': -0.999876, 'PEBBLES_XL': -0.999892, 'intercept': 49996.061943}",2.819779469765461,2.8152557045989535,-97.82702965744079,0.7086036708421852,0.7092907531824477
PEBBLES_M,4,3,"{'PEBBLES_XS': -0.999589, 'PEBBLES_S': -1.000187, 'PEBBLES_L': -0.999876, 'PEBBLES_XL': -0.999892, 'intercept': 49996.061943}",2.819779469765461,2.772040794294106,-98.57639895196249,0.7031266635924243,0.7127862692135836
PEBBLES_L,2,3,"{'PEBBLES_XS': -0.999785, 'PEBBLES_S': -1.000112, 'PEBBLES_M': -1.000007, 'PEBBLES_XL': -0.999956, 'intercept': 49998.569896}",2.8147226081847054,2.7624363862022014,-99.2677977309455,0.6981755787137464,0.7153205042312117
PEBBLES_L,2,4,"{'PEBBLES_XS': -0.999785, 'PEBBLES_S': -1.000112, 'PEBBLES_M': -1.000007, 'PEBBLES_XL': -0.999956, 'intercept': 49998.569896}",2.8147226081847054,2.820229722140384,-98.77915897783501,0.701659843439748,0.7107945110642316
PEBBLES_L,3,2,"{'PEBBLES_XS': -1.000115, 'PEBBLES_S': -1.000075, 'PEBBLES_M': -1.00011, 'PEBBLES_XL': -1.0, 'intercept': 50002.572087}",2.7572477599936693,2.818722996292172,-97.61884945303649,0.7101514762857983,0.7085084264435064
PEBBLES_L,3,4,"{'PEBBLES_XS': -1.000115, 'PEBBLES_S': -1.000075, 'PEBBLES_M': -1.00011, 'PEBBLES_XL': -1.0, 'intercept': 50002.572087}",2.7572477599936693,2.8239982512052864,-98.53525478619817,0.7034193761207331,0.7099277600345681
PEBBLES_L,4,2,"{'PEBBLES_XS': -0.99974, 'PEBBLES_S': -1.000172, 'PEBBLES_M': -0.999964, 'PEBBLES_XL': -0.999984, 'intercept': 49999.109241}",2.81990365632318,2.815286632636684,-97.83718896495903,0.7085279071918357,0.7093005417989264
PEBBLES_L,4,3,"{'PEBBLES_XS': -0.99974, 'PEBBLES_S': -1.000172, 'PEBBLES_M': -0.999964, 'PEBBLES_XL': -0.999984, 'intercept': 49999.109241}",2.81990365632318,2.763170715313714,-99.21597401139576,0.6985430122937172,0.7151429574994695
PEBBLES_XL,2,3,"{'PEBBLES_XS': -0.999848, 'PEBBLES_S': -1.000144, 'PEBBLES_M': -1.000077, 'PEBBLES_L': -0.999997, 'intercept': 50000.619145}",2.8147804056947927,2.762207402049248,-99.29173859348012,0.6980060954756289,0.71539604505812
PEBBLES_XL,2,4,"{'PEBBLES_XS': -0.999848, 'PEBBLES_S': -1.000144, 'PEBBLES_M': -1.000077, 'PEBBLES_L': -0.999997, 'intercept': 50000.619145}",2.8147804056947927,2.8204105457113853,-98.77479667665759,0.701690999802716,0.710785541337051
PEBBLES_XL,3,2,"{'PEBBLES_XS': -1.000113, 'PEBBLES_S': -1.000062, 'PEBBLES_M': -1.000114, 'PEBBLES_L': -0.999956, 'intercept': 50002.040431}",2.7571870036424952,2.8180086762553542,-97.66539687991798,0.7098049855028619,0.7086779013444526
PEBBLES_XL,3,4,"{'PEBBLES_XS': -1.000113, 'PEBBLES_S': -1.000062, 'PEBBLES_M': -1.000114, 'PEBBLES_L': -0.999956, 'intercept': 50002.040431}",2.7571870036424952,2.8238178103430376,-98.54574259153793,0.7033432243057631,0.709967179690908
PEBBLES_XL,4,2,"{'PEBBLES_XS': -0.99975, 'PEBBLES_S': -1.000225, 'PEBBLES_M': -0.999983, 'PEBBLES_L': -0.999986, 'intercept': 49999.8767}",2.8199069002669996,2.815438673589935,-97.8299441796361,0.7085816555430763,0.7092811192233653
PEBBLES_XL,4,3,"{'PEBBLES_XS': -0.99975, 'PEBBLES_S': -1.000225, 'PEBBLES_M': -0.999983, 'PEBBLES_L': -0.999986, 'intercept': 49999.8767}",2.8199069002669996,2.763419670347649,-99.20125710126847,0.6986475083180959,0.71508055080755
