horizon,signal_product,target,top_imbalance_corr,top_imbalance_positive_days,book_imbalance_corr,book_imbalance_positive_days,spread_corr,spread_positive_days
1,PEBBLES_XL,PEBBLES_XS,0.029038096885483436,3,-0.027728779613691967,0,-0.002620095480594388,2
1,PEBBLES_XL,PEBBLES_S,0.035788319018189116,3,-0.03431045992957512,0,0.00125388813021289,3
1,PEBBLES_XL,PEBBLES_M,0.026757943678374575,3,-0.03048858412374825,0,-0.000882160995504905,1
1,PEBBLES_XL,PEBBLES_L,0.029485060333183835,3,-0.029887098028656616,0,0.0024960597275142083,2
1,PEBBLES_XL,PEBBLES_XL,0.024395156490693525,3,-0.02508379071833435,0,-0.011242417329801633,0
5,PEBBLES_XS,PEBBLES_XS,0.004661756676798385,2,-0.005381957232604433,1,-0.02875558339183913,0
5,PEBBLES_XS,PEBBLES_S,0.008926370201534204,3,-0.015995973359589164,0,0.007240426192653603,3
5,PEBBLES_XS,PEBBLES_M,0.00979980172026429,2,-0.013542561374905874,1,-0.008131781503931075,2
5,PEBBLES_XS,PEBBLES_L,0.003436925864550931,2,-0.011433823947669711,1,-0.005858248120984027,1
5,PEBBLES_XS,PEBBLES_XL,0.012141440511255241,3,-0.015766349327407333,0,0.011102838956870672,3
5,PEBBLES_S,PEBBLES_XS,0.0035906737042452953,2,-0.005381957232604433,1,-0.015803238939019387,0
5,PEBBLES_S,PEBBLES_S,0.01573454013903646,3,-0.015995973359589164,0,-0.018138189025535115,0
5,PEBBLES_S,PEBBLES_M,0.007967287027507037,2,-0.013542561374905874,1,-0.0014452795833460625,1
5,PEBBLES_S,PEBBLES_L,0.014108572003935201,3,-0.011433823947669711,1,-0.007784700536402057,1
5,PEBBLES_S,PEBBLES_XL,0.017591029484544222,3,-0.015766349327407333,0,0.014492466153475644,3
5,PEBBLES_M,PEBBLES_XS,0.0035906737042452953,2,-0.005381957232604433,1,-7.889165331142368e-05,2
5,PEBBLES_M,PEBBLES_S,0.01573454013903646,3,-0.015995973359589164,0,-0.0002885319389847615,2
5,PEBBLES_M,PEBBLES_M,0.007967287027507037,2,-0.013542561374905874,1,-0.022385935063198692,0
5,PEBBLES_M,PEBBLES_L,0.014108572003935201,3,-0.011433823947669711,1,-0.0012966694025574928,1
5,PEBBLES_M,PEBBLES_XL,0.017591029484544222,3,-0.015766349327407333,0,0.005330508481175907,3
5,PEBBLES_L,PEBBLES_XS,0.0035906737042452953,2,-0.005381957232604433,1,-0.010518767644199357,1
5,PEBBLES_L,PEBBLES_S,0.01573454013903646,3,-0.015995973359589164,0,-0.0025040706276822093,1
5,PEBBLES_L,PEBBLES_M,0.007967287027507037,2,-0.013542561374905874,1,-0.003393813348566447,1
5,PEBBLES_L,PEBBLES_L,0.014108572003935201,3,-0.011433823947669711,1,-0.016145793677850673,0
5,PEBBLES_L,PEBBLES_XL,0.017591029484544222,3,-0.015766349327407333,0,0.009517855664670987,2
5,PEBBLES_XL,PEBBLES_XS,0.0035906737042452953,2,-0.005381957232604433,1,0.001439614922057051,1
5,PEBBLES_XL,PEBBLES_S,0.01573454013903646,3,-0.015995973359589164,0,0.009675690467796537,3
5,PEBBLES_XL,PEBBLES_M,0.007967287027507037,2,-0.013542561374905874,1,0.009116579593355564,2
5,PEBBLES_XL,PEBBLES_L,0.014108572003935201,3,-0.011433823947669711,1,0.00775204650638506,2
5,PEBBLES_XL,PEBBLES_XL,0.017591029484544222,3,-0.015766349327407333,0,-0.018497864757162846,0
20,PEBBLES_XS,PEBBLES_XS,0.002877631828214473,2,-0.007591706374772865,0,-0.04097679359266542,0
20,PEBBLES_XS,PEBBLES_S,-0.0004358331132175385,1,-0.004944693215188545,1,0.015332308326641645,2
20,PEBBLES_XS,PEBBLES_M,0.0038682850040255433,2,-0.007252164081506861,1,-0.016333237114379087,1
20,PEBBLES_XS,PEBBLES_L,0.0017292100380112486,2,-0.0041940837444018894,1,-0.0034175580245476476,1
20,PEBBLES_XS,PEBBLES_XL,0.009076228751244482,3,-0.007807938597201631,1,0.01821226489597957,3
20,PEBBLES_S,PEBBLES_XS,0.010456365012144695,3,-0.007591706374772865,0,-0.01474541788368347,1
20,PEBBLES_S,PEBBLES_S,0.005456889569431015,2,-0.004944693215188545,1,-0.036721311157875074,0
20,PEBBLES_S,PEBBLES_M,0.004363078670535843,2,-0.007252164081506861,1,-0.010582391574786068,1
20,PEBBLES_S,PEBBLES_L,0.006554791651014445,2,-0.0041940837444018894,1,-0.008752113948757972,1
20,PEBBLES_S,PEBBLES_XL,0.006079486394358507,2,-0.007807938597201631,1,0.03089851625368678,3
20,PEBBLES_M,PEBBLES_XS,0.010456365012144695,3,-0.007591706374772865,0,0.016536780968604215,2
20,PEBBLES_M,PEBBLES_S,0.005456889569431015,2,-0.004944693215188545,1,-0.0007587624280835263,2
20,PEBBLES_M,PEBBLES_M,0.004363078670535843,2,-0.007252164081506861,1,-0.042285470069746665,0
20,PEBBLES_M,PEBBLES_L,0.006554791651014445,2,-0.0041940837444018894,1,0.0012260818143004515,1
20,PEBBLES_M,PEBBLES_XL,0.006079486394358507,2,-0.007807938597201631,1,0.009244879289059368,3
20,PEBBLES_L,PEBBLES_XS,0.010456365012144695,3,-0.007591706374772865,0,0.00039470534501701476,2
20,PEBBLES_L,PEBBLES_S,0.005456889569431015,2,-0.004944693215188545,1,0.0022325411160922168,1
20,PEBBLES_L,PEBBLES_M,0.004363078670535843,2,-0.007252164081506861,1,-0.014231447831228783,1
20,PEBBLES_L,PEBBLES_L,0.006554791651014445,2,-0.0041940837444018894,1,-0.02299143253979373,0
20,PEBBLES_L,PEBBLES_XL,0.006079486394358507,2,-0.007807938597201631,1,0.013775636814170976,2
20,PEBBLES_XL,PEBBLES_XS,0.010456365012144695,3,-0.007591706374772865,0,0.02303102324101298,3
20,PEBBLES_XL,PEBBLES_S,0.005456889569431015,2,-0.004944693215188545,1,0.02057950519947427,2
20,PEBBLES_XL,PEBBLES_M,0.004363078670535843,2,-0.007252164081506861,1,0.016407163023266454,3
20,PEBBLES_XL,PEBBLES_L,0.006554791651014445,2,-0.0041940837444018894,1,0.019999068679675203,2
20,PEBBLES_XL,PEBBLES_XL,0.006079486394358507,2,-0.007807938597201631,1,-0.04132922560443481,0
100,PEBBLES_XS,PEBBLES_XS,0.010486219782600429,2,-0.0045419297282737895,1,-0.08552126010265425,0
100,PEBBLES_XS,PEBBLES_S,0.0021304840547872184,2,0.007985847922984061,2,0.03374817792998484,2
100,PEBBLES_XS,PEBBLES_M,0.004413178938571202,3,-0.003855548782664813,2,-0.02540213550610179,1
100,PEBBLES_XS,PEBBLES_L,-0.003719170967227686,1,0.002490623551760073,3,-0.00655637634943021,1
100,PEBBLES_XS,PEBBLES_XL,-0.0015502871354735207,2,-0.010253634803461203,1,0.039848863859760206,3
100,PEBBLES_S,PEBBLES_XS,0.011615402770200766,2,-0.0045419297282737895,1,-0.03261080160558648,1
100,PEBBLES_S,PEBBLES_S,-0.006596860154019145,1,0.007985847922984061,2,-0.07882878042322983,0
100,PEBBLES_S,PEBBLES_M,0.0031019508245095783,2,-0.003855548782664813,2,-0.004849697887149812,1
100,PEBBLES_S,PEBBLES_L,0.0036343300547997787,3,0.002490623551760073,3,-0.008001861518443003,2
100,PEBBLES_S,PEBBLES_XL,0.0030827088148296183,2,-0.010253634803461203,1,0.06388519128209659,3
100,PEBBLES_M,PEBBLES_XS,0.011615402770200766,2,-0.0045419297282737895,1,0.043626041165080655,3
100,PEBBLES_M,PEBBLES_S,-0.006596860154019145,1,0.007985847922984061,2,-8.2020798325904e-05,2
100,PEBBLES_M,PEBBLES_M,0.0031019508245095783,2,-0.003855548782664813,2,-0.07748053422613094,0
100,PEBBLES_M,PEBBLES_L,0.0036343300547997787,3,0.002490623551760073,3,0.002787095995334714,2
100,PEBBLES_M,PEBBLES_XL,0.0030827088148296183,2,-0.010253634803461203,1,0.014388107910017135,2
100,PEBBLES_L,PEBBLES_XS,0.011615402770200766,2,-0.0045419297282737895,1,-0.010893720156512236,2
100,PEBBLES_L,PEBBLES_S,-0.006596860154019145,1,0.007985847922984061,2,0.0026772088185068993,1
100,PEBBLES_L,PEBBLES_M,0.0031019508245095783,2,-0.003855548782664813,2,-0.011912950207720567,1
100,PEBBLES_L,PEBBLES_L,0.0036343300547997787,3,0.002490623551760073,3,-0.04461138448741483,0
100,PEBBLES_L,PEBBLES_XL,0.0030827088148296183,2,-0.010253634803461203,1,0.032498331421230826,2
100,PEBBLES_XL,PEBBLES_XS,0.011615402770200766,2,-0.0045419297282737895,1,0.04442409779949783,3
100,PEBBLES_XL,PEBBLES_S,-0.006596860154019145,1,0.007985847922984061,2,0.042688288964643245,2
100,PEBBLES_XL,PEBBLES_M,0.0031019508245095783,2,-0.003855548782664813,2,0.03454831079712601,2
100,PEBBLES_XL,PEBBLES_L,0.0036343300547997787,3,0.002490623551760073,3,0.03710213000941293,2
100,PEBBLES_XL,PEBBLES_XL,0.0030827088148296183,2,-0.010253634803461203,1,-0.08285416400284575,0
