name,q,expected_pnl,mc_mean_path,std_path,std_100,p01_path,p05_path,prob_gt_0_norm,prob_gt_250k_norm,prob_gt_500k_norm,prob_gt_1m_norm,objective_lambda_0,objective_lambda_0.25,objective_lambda_0.5,objective_lambda_1,objective_lambda_2
ac_hedge_-5,"(-5, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163078.41199643523,164154.32783367616,6204684.54240866,620468.454240866,-25471057.59462769,-10519793.478378076,0.6036596216711885,0.4442943374589868,0.2935608967824985,0.08869187297623643,163078.41199643523,7961.298436218727,-147155.81512399777,-457390.04224443075,-1077858.4964852969
ac_hedge_+6,"(6, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163003.41199643523,165520.14776647362,5483528.470534219,548352.8470534219,-21614355.43454282,-8484448.707337683,0.6168660223711842,0.43697202295784027,0.2694221492948301,0.06345722623068288,163003.41199643523,25915.200233079755,-111173.01153027572,-385349.43505698664,-933702.2821104085
ac_hedge_-6,"(-6, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163003.41199643523,163948.34420342196,6275896.147705839,627589.6147705839,-25832822.857649397,-10707156.741095599,0.6024637054493917,0.4448751463065148,0.29564428253570607,0.0911562383482643,163003.41199643523,6106.008303789247,-150791.39538885673,-464586.20277414867,-1092175.8175447327
ac_hedge_-7,"(-7, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162928.41199643526,163742.3605731676,6347916.915169651,634791.691516965,-26172637.68698832,-10891779.415818786,0.6012810620114973,0.4454499475778011,0.2977109179927837,0.09364214646730462,162928.41199643526,4230.489117193996,-154467.43376204727,-471863.2795205298,-1106654.971037495
ac_hedge_+7,"(7, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162928.41199643526,165576.13139672801,5424508.874604445,542450.8874604445,-21243173.330304872,-8306524.134589666,0.6180472123679457,0.43623764242477436,0.26717271884217536,0.06139976389361952,162928.41199643526,27315.69013132414,-108297.03173378698,-379522.4754640092,-921973.3629244537
ac_hedge_-8,"(-8, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162853.41199643526,163536.3769429133,6420719.615909798,642071.9615909798,-26515589.26507628,-11071440.059201086,0.6001121192426457,0.4460184976764162,0.299759760651329,0.09614739511228765,162853.41199643526,2335.4215986903,-158182.56879905466,-479218.5495945446,-1121290.5111855245
ac_hedge_+8,"(8, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162853.41199643526,165632.1150269823,5366742.3166469745,536674.2316646974,-20884314.583431292,-8122692.5078174835,0.6192262545351958,0.4355022634091905,0.2649316834840653,0.059394299712600504,162853.41199643526,28684.854080260906,-105483.70383591345,-373820.81966826215,-910495.0513329596
ac_hedge_-9,"(-9, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162778.41199643526,163330.3933126589,6494277.9528970495,649427.7952897049,-26864527.76420627,-11256898.679843053,0.5989572437096741,0.44658058539345746,0.30178987673600977,0.0986698286538063,162778.41199643526,421.46317400902626,-161935.4856484172,-486649.38329326967,-1136077.1785829747
ac_hedge_+9,"(9, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162778.41199643526,165688.09865723655,5310269.689482841,531026.968948284,-20534086.244262543,-7939942.534560396,0.6204013753571955,0.43476686794764535,0.26270225571322414,0.05744282761179052,162778.41199643526,30021.669759364246,-102735.07247770677,-368248.5569518488,-899275.5259001328
ac_hedge_-10,"(-10, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162703.41199643526,163124.40968240466,6568566.540118508,656856.6540118508,-27215796.057532303,-11436845.875030043,0.5978167451372793,0.4471360295599611,0.3038004348038943,0.10120734308393503,162703.41199643526,-1510.7515065274492,-165724.91500949016,-494153.24201541557,-1151009.8960272665
ac_hedge_+10,"(10, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162703.41199643526,165744.08228749086,5255132.7077358365,525513.2707735837,-20173099.287260137,-7754691.206466481,0.6215706805881702,0.43403251285443684,0.260487826809672,0.05554724406440853,162703.41199643526,31325.09430303934,-100053.22339035658,-362809.8587771484,-888323.1295507321
ac_hedge_-11,"(-11, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162628.41199643526,162918.42605215023,6643560.8805495305,664356.088054953,-27577784.926262166,-11624247.276879085,0.5966908806923505,0.4476846768007882,0.30579069948765547,0.10375789039215688,162628.41199643526,-3460.610017302999,-169549.63203104126,-501727.67605851777,-1166083.764113471
ac_hedge_+11,"(11, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162628.41199643526,165800.0659177452,5201373.8469671365,520137.38469671365,-19814536.007626764,-7572775.64414067,0.6227321545900657,0.43330033081043606,0.258291964286141,0.05370933816754818,162628.41199643526,32594.065822256845,-97440.28035192157,-357508.9727002784,-877646.357396992
ac_hedge_+12,"(12, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162553.41199643526,165856.04954799952,5149036.272452966,514903.6272452966,-19468185.928131152,-7392620.009250456,0.6238836607167697,0.43257153086489386,0.2561184076133528,0.05193078252182011,162553.41199643526,33827.505185111106,-94898.40162621305,-352350.21524886135,-867253.842494158
ac_hedge_-12,"(-12, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162553.41199643526,162712.44242189603,6719237.343203145,671923.7343203145,-27935273.456210274,-11804133.585704722,0.595579859067913,0.44822639939438796,0.30776002540676306,0.10631948230880972,162553.41199643526,-5427.521583643364,-173408.45516372198,-509370.3223238792,-1181294.0566441938
ac_hedge_-13,"(-13, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162478.41199643526,162506.45879164175,6795573.139489205,679557.3139489205,-28325892.330595933,-11983141.728993338,0.5944838443615856,0.4487610932410092,0.30970785127075684,0.10889019344269307,162478.41199643526,-7410.916490794858,-177300.24497802497,-517078.9019524852,-1196636.2159014056
ac_hedge_+13,"(13, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162478.41199643526,165912.03317825383,5098163.7570092715,509816.37570092716,-19112587.366255116,-7206179.71077151,0.6250229428862946,0.4318473982591694,0.2539710620701456,0.05021312510078008,162478.41199643526,35024.31807120347,-92429.77585402832,-347337.9637044919,-857154.3394054191
ac_hedge_+14,"(14, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162403.4119964353,165968.01680850814,5048800.587332934,504880.05873329344,-18768086.50413473,-7023541.567299179,0.6261476284829219,0.4311292934793547,0.25185399057354213,0.04855778228990629,162403.4119964353,36183.39731311193,-90036.61737021143,-342476.6467368582,-847356.7054701516
ac_hedge_-14,"(-14, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162403.4119964353,162300.4751613874,6872546.299089048,687254.6299089048,-28670883.954101376,-12171440.139638945,0.5934029597463784,0.44928867594037886,0.3116336941933334,0.11146816384359315,162403.4119964353,-9410.245480790909,-181223.9029580171,-524851.2179124695,-1212105.8478213742
ac_hedge_+15,"(15, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162328.4119964353,166024.00043876245,5000991.458415797,500099.1458415797,-18408679.405630864,-6836427.045690823,0.627255232728347,0.4304186504448133,0.2497714033587371,0.04696603326448847,162328.4119964353,37303.62553604036,-87721.16092435457,-337770.7338451444,-837869.8796867242
ac_hedge_-15,"(-15, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162328.4119964353,162094.49153113316,6950135.645526777,695013.5645526777,-29030918.576963864,-12363829.784117974,0.592337290934115,0.4498090849785724,0.31353714423124146,0.11405160102354245,162328.4119964353,-11424.979141734133,-185178.37027990355,-532685.1525562424,-1227698.71710892
ac_hedge_+16,"(16, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162253.4119964353,166079.9840690168,4954781.355697352,495478.13556973526,-18073276.888391804,-6655979.379435219,0.6283431646538143,0.4297169737421397,0.24772764539900544,0.04543901585996168,162253.4119964353,38383.87810400147,-85485.65578843234,-333224.72357329994,-828702.8591430353
ac_hedge_-16,"(-16, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162253.4119964353,161888.5079008788,7028320.771595815,702832.0771595815,-29392094.180355888,-12546699.540507488,0.5912868894337979,0.450322276022739,0.3154178591578281,0.1166387814727789,162253.4119964353,-13454.607293460082,-189162.62658335545,-540578.6651631462,-1243410.7423227276
pure_excluding_edge_below_0.01,"(0, 0, 0, 0, 0, 0, 0, 50, 50, -50, -50, 500)",162222.16659282797,166569.16501100175,3431911.782550144,343191.1782550144,-9343858.234321773,-4028366.286539792,0.6817819130404099,0.3990644160831597,0.1625020929226974,0.007320481716738842,162222.16659282797,76424.37202907437,-9373.422534679237,-180969.01166218644,-524160.1899172008
ac_hedge_+17,"(17, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162178.4119964353,166135.96769927107,4910215.424755652,491021.5424755652,-17711575.50585605,-6475659.846746214,0.6294087347935166,0.42902583481939943,0.24572718148098177,0.043977724066905706,162178.4119964353,39423.02637754398,-83332.35924134732,-328843.13047912996,-819864.6729546952
ac_hedge_-17,"(-17, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162178.4119964353,161682.5242706245,7107082.014778806,710708.2014778806,-29742059.54730725,-12724915.958215673,0.5902517756088824,0.4508282213214778,0.31727555947747943,0.11922805170768574,162178.4119964353,-15498.63837303486,-193175.688742505,-548529.7894814453,-1259237.9909593258
ac_hedge_+18,"(18, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162103.4119964353,166191.9513295254,4867338.828494941,486733.8828494941,-17356438.157876555,-6301205.085905817,0.6304491647026121,0.4283468670641192,0.24377457888174442,0.04258300725631464,162103.4119964353,40419.94128406176,-81263.52942831177,-324630.47085305885,-811364.353702553
ac_hedge_-18,"(-18, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162103.4119964353,161476.54064037013,7186400.432780202,718640.0432780201,-30100329.629497364,-12908774.710492663,0.5892319415387507,0.45132690820798327,0.319110023684102,0.12181782888859582,162103.4119964353,-17556.59882306974,-197216.60964257477,-556536.6312815849,-1275176.6745596048
ac_hedge_-19,"(-19, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162028.4119964353,161270.55701011594,7266257.779273904,726625.7779273904,-30457588.213929195,-13091032.381293878,0.5882273536907057,0.4518183377025395,0.3209210837641521,0.1244066010453338,162028.4119964353,-19628.032485412317,-201284.47696725992,-564597.3659309552,-1291223.1438583455
ac_hedge_+19,"(19, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",162028.4119964353,166247.93495977967,4826196.591972254,482619.6591972254,-17014610.609923456,-6122101.7411511475,0.6314615983806846,0.42768175970069666,0.2418744876305905,0.04125557120920309,162028.4119964353,41373.497197128934,-79281.41760217742,-320591.2472007901,-803210.9063980156
ac_hedge_+20,"(20, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161953.4119964353,166303.91859003392,4786833.435213577,478683.3435213577,-16674297.683779933,-5960626.898790329,0.6324431156530378,0.4270322504589603,0.2400316183800395,0.03999598098881111,161953.4119964353,42282.576116095865,-77388.25976424356,-316729.9315249224,-795413.2750462801
ac_hedge_-20,"(-20, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161953.4119964353,161064.57337986157,7346636.479953086,734663.6479953086,-30805339.772719998,-13283856.864794469,0.5872379554095865,0.45230252321055214,0.3227086209425064,0.12699292694784808,161953.4119964353,-21712.50000239187,-205378.41200121903,-572710.2359988734,-1307373.8839941819
ac_hedge_+21,"(21, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161878.41199643532,166359.9022202884,4749293.594600837,474929.35946008365,-16316283.23075955,-5811419.312778811,0.6333907475278433,0.4264001169856488,0.2382507179569353,0.03880466565445229,161878.41199643532,43146.0721314144,-75586.26773360651,-313050.94746364834,-787980.3069237319
ac_hedge_-21,"(-21, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161878.41199643532,160858.58974960723,7427519.608955627,742751.9608955628,-31166491.83735868,-13469493.570921367,0.5862636692326697,0.4527794893120196,0.3244725616676224,0.12957543565833662,161878.41199643532,-23809.57822745538,-209497.56845134607,-580873.5488991274,-1323625.5097946902
ac_hedge_+22,"(22, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161803.41199643532,166415.8858505427,4713620.63366139,471362.063366139,-15963185.708142506,-5674083.609761838,0.6343014935069838,0.42578716699459945,0.23653654271475932,0.037681924774495015,161803.41199643532,43962.89615490056,-73877.61968663419,-309558.6513697037,-780920.7147358428
ac_hedge_-22,"(-22, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161803.41199643532,160652.60611935295,7508890.865726252,750889.0865726252,-31530859.120958198,-13655109.55752107,0.5853043990379043,0.45324927063815584,0.3262128738309265,0.13215282579998322,161803.41199643532,-25918.859646720986,-213641.1312898773,-589085.6745761898,-1339974.761148815
ac_hedge_+23,"(23, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161728.41199643532,166471.86948079706,4679857.244357372,467985.7244357372,-15591802.773747275,-5577888.126308907,0.6351723407829603,0.42519522717922986,0.23489382986139662,0.036627936653317934,161728.41199643532,44731.98088750102,-72264.45022143328,-306257.31243930187,-774243.0368750391
ac_hedge_-23,"(-23, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161728.41199643532,160446.62248909863,7590734.552365657,759073.4552365657,-31897634.89752226,-13840177.814212292,0.5843600320337521,0.45371191083077395,0.32792956321415845,0.13472386457587104,161728.41199643532,-28039.951812706102,-217808.31562184752,-597345.0432401304,-1356418.498476696
ac_hedge_-24,"(-24, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161653.41199643532,160240.6388588444,7673035.551507142,767303.5551507142,-32263401.809243955,-14023551.790127732,0.583430440599005,0.45416746157999544,0.3296226701574446,0.1372873865698946,161653.41199643532,-30172.476791243243,-221998.3655789218,-605650.1431542789,-1372953.698304993
ac_hedge_+24,"(24, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161653.41199643532,166527.8531110512,4648045.040247984,464804.5040247984,-15244830.04244237,-5484916.582420168,0.6360002852042214,0.42462613094204693,0.23332726699133488,0.03564276814469175,161653.41199643532,45452.285990235716,-70748.84001596388,-303151.0920283631,-767955.5960531614
ac_hedge_-25,"(-25, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161578.41199643532,160034.65522859007,7755779.304752751,775577.9304752751,-32625575.592682805,-14211090.103469366,0.5825154839809431,0.4546159817358677,0.3312922664401463,0.13984229235959933,161578.41199643532,-32316.07062238347,-226210.55324120226,-613999.5184788399,-1389577.448954115
ac_hedge_+25,"(25, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161578.41199643532,166583.83674130557,4618224.343176445,461822.4343176445,-14887142.4843528,-5413816.285726639,0.636782353837902,0.42408170502978915,0.23184146010610235,0.03472638588332178,161578.41199643532,46122.80341702419,-69332.80516238694,-300244.0223212092,-762066.4566388538
ac_hedge_-26,"(-26, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161503.41199643532,159828.67159833576,7838951.791693427,783895.1791693426,-32988466.543364648,-14398055.904871192,0.5816150098600974,0.45505753648953073,0.3329384523660031,0.1423875469689126,161503.41199643532,-34470.38279590034,-230444.177588236,-622391.7671729072,-1406286.9463422499
ac_hedge_+26,"(26, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161503.41199643532,166639.82037155994,4590433.965407306,459043.3965407306,-14537775.122468505,-5367806.375722798,0.6375156289036845,0.4235637551984989,0.2304409004599901,0.033878668728643854,161503.41199643532,46742.56286125266,-68018.28627392999,-297539.9845442953,-756583.3810850258
ac_hedge_-27,"(-27, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161428.41199643532,159622.68796808142,7922539.509531018,792253.9509531019,-33345137.443211567,-14584331.866935736,0.5807288557897211,0.4554921966196688,0.3345613540437208,0.1449221781867025,161428.41199643532,-36635.07574184015,-234698.5634801156,-630825.5389566666,-1423079.4899097683
ac_hedge_+27,"(27, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161428.41199643532,166695.80400181422,4564710.989399714,456471.0989399714,-14194629.006261274,-5328496.369303481,0.6381972727971734,0.42307405106921214,0.22912993061790565,0.03309942118171,161428.41199643532,47310.63726144246,-66807.13747355039,-295042.6869435361,-751513.7858835075
ac_hedge_+28,"(28, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161353.41199643534,166751.78763206865,4541090.54763852,454109.054763852,-13853065.951839978,-5301420.636843416,0.6388245538678933,0.4226143103707022,0.22791271015668735,0.0323883875083007,161353.41199643534,47826.14830547235,-65701.11538549064,-292755.64276741666,-746864.6975312686
ac_hedge_-28,"(-28, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161353.41199643534,159416.70433782708,8006529.453314357,800652.9453314358,-33701756.258285835,-14770410.65085328,0.5798568505178516,0.45592003780010537,0.33616112085394534,0.14744527477508262,161353.41199643534,-38809.8243364236,-238973.06066928254,-639299.5333350004,-1439952.4786664362
ac_hedge_+29,"(29, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161278.41199643534,166807.77126232284,4519605.605147557,451960.5605147557,-13505594.471568555,-5291187.752223006,0.6393948725680927,0.4221861827993145,0.2267931814784967,0.03174526628021777,161278.41199643534,48288.271867746415,-64701.868260942516,-290682.1485183204,-742642.7090330761
ac_hedge_-29,"(-29, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161278.41199643534,159210.72070757285,8090909.096796515,809090.9096796515,-34064651.64321609,-14962715.656152919,0.5789988151995831,0.45634113996454506,0.3377379230934579,0.14995598458937098,161278.41199643534,-40994.31542347753,-243267.0428433904,-647812.4976832161,-1456903.4073628676
ac_hedge_-30,"(-30, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161203.41199643534,159004.73707731857,8175666.373916121,817566.6373916122,-34418268.305921204,-15148300.586568521,0.5781545645068782,0.4567555867246222,0.33929194978743615,0.15245351262965656,161203.41199643534,-43188.2473514677,-247579.90669937074,-656363.2253951768,-1473929.862786789
ac_hedge_+30,"(30, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161203.41199643534,166863.75489257718,4500286.747467816,450028.6747467816,-13159502.933437433,-5287052.183825825,0.639905787546409,0.4217912337557666,0.22577503623322087,0.031169725032752078,161203.41199643534,48696.24330973995,-63810.92537695545,-288825.2627503462,-738853.9374971278
ac_hedge_+31,"(31, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161128.41199643534,166919.73852283144,4483161.976988073,448316.19769880734,-12826048.924516635,-5289473.540122998,0.6403550412274929,0.42143092824322437,0.22486168286459585,0.030661414730023078,161128.41199643534,49049.36257173351,-63029.68685296833,-287187.78570237197,-735503.9834011793
ac_hedge_-31,"(-31, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161128.41199643534,158798.7534470642,8260789.660901968,826078.9660901969,-34764484.336444296,-15335126.282750556,0.577323907642932,0.45716346483758863,0.340823406660711,0.15493711904203417,161128.41199643534,-45391.32952611387,-251911.07104866309,-664950.5540937615,-1491029.5201839583
ac_hedge_-32,"(-32, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161053.41199643534,158592.7698168099,8346267.758996885,834626.7758996885,-35116061.87966438,-15519542.217223141,0.5765066492677721,0.4575648637201475,0.342332514259106,0.15740611708575358,161053.41199643534,-47603.281978486775,-256259.9759534089,-673573.3639032531,-1508200.1398029416
ac_hedge_+32,"(32, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",161053.41199643534,166975.7221530858,4468256.520558405,446825.6520558405,-12479552.794756709,-5306152.20458816,0.6407405843971774,0.4211066152284404,0.22405621580071838,0.030219983731396578,161053.41199643534,49346.99898247523,-62359.41403148489,-285772.2400594051,-732597.8921152456
ac_hedge_-33,"(-33, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160978.41199643534,158386.7861865556,8432089.877794284,843208.9877794285,-35475727.9307123,-15703698.046730552,0.5757025903414426,0.4579598750051213,0.3438195062121553,0.15985987108080868,160978.41199643534,-49823.834948421776,-260626.0818932789,-682230.5757829931,-1525439.5635624216
ac_hedge_+33,"(33, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160978.41199643534,167031.7057833401,4455592.651290926,445559.2651290926,-12149492.031018091,-5331910.315725141,0.6410605993046105,0.4208195127768617,0.22336138680282097,0.02984509096138092,160978.41199643534,49588.59571416219,-61801.22056811096,-284580.85313265724,-730140.1182617499
ac_hedge_-34,"(-34, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160903.41199643534,158180.80255630123,8518245.61917856,851824.561917856,-35831198.49566269,-15893672.075915258,0.5749115288907785,0.45834859213782186,0.34528462762875256,0.16229779434886898,160903.41199643534,-52052.72848302865,-265008.8689624927,-690921.1499214206,-1542745.7118392766
ac_hedge_+34,"(34, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160903.41199643534,167087.68941359443,4445189.527352757,444518.95273527567,-11809755.253002843,-5357175.1719944915,0.6413135207994118,0.42057069427228666,0.22277957896616202,0.029536418001907146,160903.41199643534,49773.67381261643,-61356.06437120249,-283615.54073884035,-728134.493474116
ac_hedge_-35,"(-35, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160828.41199643537,157974.818926047,8604724.9618586,860472.49618586,-36199418.06910518,-16077001.132625775,0.574133260705439,0.45873111000917016,0.3467281336175673,0.16471934715893394,160828.41199643537,-54289.71205002963,-269407.83609649463,-699644.0841894246,-1560116.5803752847
ac_hedge_+35,"(35, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160828.41199643537,167143.67304384874,4437063.050381351,443706.30503813515,-11470095.69863792,-5394305.580375577,0.6414980550442321,0.4203610760211452,0.2223127838336056,0.029293679849134963,160828.41199643537,49901.83573690159,-61024.7405226322,-282877.8930416998,-726584.1980798349
ac_hedge_+36,"(36, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160753.41199643537,167199.65667410305,4431225.745903298,443122.57459032984,-11127608.05999678,-5429993.3386131255,0.6416131953812136,0.42019140652054676,0.2219625820364311,0.029116634106150084,160753.41199643537,49972.768348852915,-60807.875298729545,-282369.16259389446,-725491.7371842243
ac_hedge_-36,"(-36, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160753.41199643537,157768.83529579264,8691518.24648227,869151.824648227,-36553999.53172103,-16261667.230828138,0.5733675799685372,0.45910752462278986,0.3481502879243782,0.16712403468767417,160753.41199643537,-56534.544165621366,-273822.5003276781,-708398.4126517916,-1577550.2373000185
ac_hedge_+37,"(37, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160678.41199643537,167255.6403043574,4427686.667818414,442768.6667818414,-10785797.22460858,-5476896.4622386405,0.641658234984169,0.42006225763813654,0.2217301278190777,0.02900508841727401,160678.41199643537,49986.24530097502,-60705.92139448534,-282090.25478540605,-724858.9215672475
ac_hedge_-37,"(-37, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160678.41199643537,157562.85166553836,8778616.161318356,877861.6161318356,-36928841.23578465,-16454212.01395943,0.5726142798268733,0.45947793279346916,0.3495513616787992,0.16951140500311418,160678.41199643537,-58786.99203652353,-278252.39606948243,-717183.2041354002,-1595044.8202672359
ac_hedge_-38,"(-38, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",160603.41199643537,157356.86803528402,8866009.728491697,886600.9728491697,-37297412.68561659,-16648759.939965317,0.5718731529054678,0.45984243187455415,0.3509316322432172,0.1718810470791044,160603.41199643537,-61046.83121585706,-282697.0744281495,-725997.5608527344,-1612598.5337019041
