product,trader,buy_volume,sell_volume,trade_events,activity,alpha_notional,trader_aggressiveness_score,net_buy_volume,net_sell_volume,rolling_trader_activity,trader_alpha_raw,trader_alpha_score,trader_reliability
VEV_5400,Mark 22,0.0,569.0,161,569.0,21.0,1.0,-569.0,569.0,569.0,0.03690685413005272,0.6498025900022912,0.5380854756232868
VEV_5400,Mark 01,543.0,0.0,154,543.0,-6.5,0.0,543.0,-543.0,543.0,-0.011970534069981584,0.5017288795749678,0.53157321539485
VEV_5300,Mark 22,0.0,292.0,84,292.0,77.5,0.9761904761904762,-292.0,292.0,292.0,0.2654109589041096,0.5404261766762505,0.4425879417664298
VEV_5300,Mark 01,217.0,0.0,63,217.0,-32.0,0.0,217.0,-217.0,217.0,-0.14746543778801843,-0.2973661331774065,0.39992443724562077
VEV_5300,Mark 14,74.0,0.0,20,74.0,-46.0,0.0,74.0,-74.0,74.0,-0.6216216216216216,-1.259504941954032,0.24990206968805223
HYDROGEL_PACK,Mark 22,26.0,24.0,13,50.0,-119.5,0.0,2.0,-2.0,50.0,-2.39,-1.1266595143129376,0.2023823338401895
VEV_5200,Mark 22,0.0,48.0,15,48.0,11.5,0.9333333333333333,-48.0,48.0,48.0,0.23958333333333334,0.9964728261565043,0.2062583628881086
VEV_5200,Mark 14,47.0,0.0,14,47.0,-11.5,0.0,47.0,-47.0,47.0,-0.24468085106382978,-1.0034902404252122,0.2017923299775126
VEV_5400,Mark 14,26.0,0.0,7,26.0,-14.5,0.0,26.0,-26.0,26.0,-0.5576923076923077,-1.1515314695772587,0.13974707996407415
VEV_5500,Mark 14,22.0,0.0,6,22.0,-4.0,0.0,22.0,-22.0,22.0,-0.18181818181818182,-1.1170963900227369,0.12631763065508575
VEV_5200,Mark 38,1.0,0.0,1,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.007017414268707754,0.019230769230769232
VEV_4500,Mark 22,0.0,1.0,1,1.0,-2.5,0.0,-1.0,1.0,1.0,-2.5,-0.7071067811865475,0.019230769230769232
VEV_5300,Mark 38,1.0,0.0,1,1.0,0.5,1.0,1.0,-1.0,1.0,0.5,1.0164448984551882,0.019230769230769232
VEV_5100,Mark 22,0.0,1.0,1,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.019230769230769232
VEV_5000,Mark 38,1.0,0.0,1,1.0,0.5,1.0,1.0,-1.0,1.0,0.5,0.7071067811865475,0.019230769230769232
VEV_4000,Mark 22,0.0,1.0,1,1.0,-4.0,0.0,-1.0,1.0,1.0,-4.0,-1.1506310106435382,0.019230769230769232
VEV_5000,Mark 22,0.0,1.0,1,1.0,-0.5,0.0,-1.0,1.0,1.0,-0.5,-0.7071067811865475,0.019230769230769232
VEV_4500,Mark 38,1.0,0.0,1,1.0,2.5,1.0,1.0,-1.0,1.0,2.5,0.7071067811865475,0.019230769230769232
VEV_5100,Mark 38,1.0,0.0,1,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.019230769230769232
