product,category,mean_mid,std_mid,mean_spread,mean_depth,ret1_ac,z_revert_5
TRANSLATOR_ECLIPSE_CHARCOAL,translator,9813.741883333334,355.6368134800261,8.700433333333333,22.6464,-0.0074818376165896976,-0.0008004002001000501
TRANSLATOR_ASTRO_BLACK,translator,9385.219166666666,489.7459970951282,8.3664,24.097633333333334,-0.0062131027568235716,-0.012022678005669502
MICROCHIP_SQUARE,microchip,13594.7483,1830.2523144132135,11.7188,11.914766666666667,-0.023817240513236734,-0.019126229781557445
UV_VISOR_AMBER,uv,7911.69625,996.9175843150566,10.3205,36.5396,-0.004216347677475844,-0.05139236284809071
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,10766.673183333334,765.8366934779511,13.690033333333334,36.5128,-0.0040041118567057015,-0.06856761714190429
ROBOT_MOPPING,robot,11100.213233333334,767.1607389707946,7.970666666666666,14.129333333333333,-0.010996020759644108,-0.07273636818409204
PANEL_4X4,panel,9878.719266666667,457.03755959784445,8.750466666666666,22.64206666666667,-0.005674162380342283,-0.0863431715857929
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,10437.543966666666,541.11075566404,13.301266666666667,36.5128,-0.007823204783755212,-0.08837752209438052
PANEL_2X4,panel,11265.372983333333,627.191006587133,9.8405,21.736333333333334,6.111674358847022e-05,-0.12116058029014508
GALAXY_SOUNDS_BLACK_HOLES,galaxy,11466.872083333334,958.4446757041487,14.512766666666666,36.5128,-0.016673792744081862,-0.16118059029514759
OXYGEN_SHAKE_MINT,oxygen,9838.394083333333,508.13112301970114,12.593566666666666,36.5128,-0.003142617482934492,-0.20141737535434384
PANEL_1X2,panel,8922.729016666666,589.9166084681078,11.509766666666666,36.5128,-0.002370533215632621,-0.21965982991495747
ROBOT_VACUUMING,robot,9166.775783333333,535.2586526431816,6.7533,17.145466666666668,-0.00810216785389747,-0.22983158245789562
SLEEP_POD_NYLON,sleep,9636.472566666667,508.7285352767351,8.564666666666668,23.365433333333332,5.383676371299289e-05,-0.2351842587960647
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,11092.5717,450.15043067786684,14.071533333333333,36.5128,-0.01211344347888654,-0.2577788894447224
MICROCHIP_TRIANGLE,microchip,9686.391083333334,833.3695961026575,8.635433333333333,12.8759,-0.006864612244247017,-0.26201434050358513
SLEEP_POD_COTTON,sleep,11527.613966666666,887.6928912358188,10.0502,21.739366666666665,-0.003184779786622814,-0.2718859429714857
UV_VISOR_RED,uv,11063.293583333334,587.7153752703816,14.039433333333333,36.5128,-0.0030878167836858503,-0.31882607970651994
SLEEP_POD_LAMB_WOOL,sleep,10701.441716666666,413.16904924033395,9.4001,21.7455,0.0035617694530361843,-0.31902617975654496
PANEL_1X4,panel,9397.580616666666,834.0334831633951,8.376633333333332,24.3759,-0.0016089237446177372,-0.43046523261630815
