a,b,category_a,category_b,same_category,return_corr_mean,return_corr_min,return_corr_max,return_corr_std,price_corr_mean,price_corr_min
MICROCHIP_CIRCLE,MICROCHIP_SQUARE,microchip,microchip,True,0.00813784217205665,-0.004091791429980449,0.015927526898665632,0.008755117973628445,-0.5225835354341032,-0.5891739794434936
PANEL_1X2,PANEL_4X4,panel,panel,True,0.008077014656355021,0.007297126644075917,0.009593929814989393,0.0010727637087846178,0.0588968702841061,-0.8647249038043414
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_SPACE_GRAY,translator,translator,True,0.008011594787791058,-0.009281597261437248,0.019000115545561892,0.012376738393572324,-0.021537607247330448,-0.5418055863348752
UV_VISOR_RED,UV_VISOR_YELLOW,visor,visor,True,0.0076763196418334735,-0.00850213465222382,0.019675048120892123,0.011876896007903188,-0.2588960248900343,-0.6985789786615816
MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,microchip,microchip,True,0.007326635503944611,0.004094035210997825,0.011337544803479808,0.0030079263606231127,0.13035021510128514,-0.1727074503567185
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,oxygen,oxygen,True,0.0070650677078796485,0.002536425473849661,0.013533586265166176,0.004694445404210228,-0.43893138435948,-0.8716716378787494
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,oxygen,oxygen,True,0.007030213760135465,0.003951792021130079,0.012638472016237233,0.003971956439571015,0.014655605346926911,-0.43020430341849153
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,translator,translator,True,0.0069147866541101844,-0.012910662971632467,0.02327132801586673,0.014973512421669397,-0.1399293545779349,-0.6101941216838898
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sleep,sleep,True,0.006853203263450544,0.0023320666249344517,0.014639545684774371,0.00552959834618274,-0.08198720225426288,-0.5268422991031471
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,oxygen,oxygen,True,0.006824375492505416,0.0034621582365518357,0.010434767895707105,0.0028519600911794045,0.13532204892646651,-0.5070433928593131
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,oxygen,oxygen,True,0.00681566352012401,0.006128457254893064,0.007661660099057322,0.000635918502709592,0.28122939079284676,-0.6280936567122081
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,galaxy,True,0.006761110433465253,-0.002324675981021011,0.01543938572956082,0.007257870261449469,0.2364829178258457,-0.013601208662307162
PEBBLES_L,PEBBLES_S,pebbles,pebbles,True,0.0067344692911732035,-0.006745132819067276,0.01442793867565125,0.009563271339530206,0.23521161970108237,-0.21952105312251896
UV_VISOR_AMBER,UV_VISOR_MAGENTA,visor,visor,True,0.006646059123239682,0.00017606527519589696,0.012986585807876472,0.005230674296197903,-0.3303818599204104,-0.7501475919753636
UV_VISOR_MAGENTA,UV_VISOR_ORANGE,visor,visor,True,0.006597775494307779,0.0005674289774416753,0.012031608812521107,0.004699200344731409,-0.10213693807465511,-0.1932930603007439
MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,microchip,microchip,True,0.006593714350812997,-0.009720711553305448,0.02107542986707228,0.0126390849384044,-0.4732649743256585,-0.851132716030483
PANEL_2X4,PANEL_4X4,panel,panel,True,0.006181304295202593,0.0012300037284210677,0.010515518189617726,0.00381582596329045,-0.2404331032115671,-0.8051986502027589
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sleep,sleep,True,0.006107718559144037,-0.009276678299344863,0.01800807874589141,0.011408136727848312,0.13007924126746537,-0.23120986103833727
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,oxygen,oxygen,True,0.005915066518890774,-0.007206875649638894,0.022668225269498073,0.012463806645152497,-0.1967005045487981,-0.4930432031688102
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sleep,sleep,True,0.005645144624134456,-0.0018978272126594792,0.02019884320018272,0.010293312647630844,-0.2783854082252624,-0.7643475805396087
PANEL_1X2,PANEL_1X4,panel,panel,True,0.0054774605896603205,0.003291715571680611,0.007004824826288659,0.0015857477782008954,-0.2522939916427657,-0.7208171914803099
PANEL_1X4,PANEL_2X2,panel,panel,True,0.005416594235403908,0.0010650367455183976,0.011869515490205769,0.004654459330611729,0.3700337743816236,0.08382818463197285
UV_VISOR_MAGENTA,UV_VISOR_RED,visor,visor,True,0.005348970069986629,-0.012781424581416142,0.016669141962719878,0.012951661874309699,-0.32647093898108215,-0.46538277212910634
MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,microchip,microchip,True,0.004999327375433649,-0.01157088238734222,0.016134688877776995,0.011945790095038912,-0.13016214168331638,-0.3847275797731293
PEBBLES_L,PEBBLES_XS,pebbles,pebbles,True,0.004929831102989452,-0.001314960772107987,0.011915990844923768,0.005426892291084127,0.21333145156093436,-0.2500584970554215
ROBOT_DISHES,ROBOT_VACUUMING,robot,robot,True,0.0047456000838444505,-0.0014906305978974771,0.009001605900324559,0.004506493431439168,0.09097189149417075,-0.29383831752377104
PANEL_1X2,PANEL_2X4,panel,panel,True,0.0046513278335785805,-0.002242011971389594,0.013650148311229415,0.006656574507427146,0.2411781687843515,-0.6141301339467209
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_VOID_BLUE,translator,translator,True,0.004601973703847552,-0.000625375104921482,0.013410137045488213,0.006264480551500554,-0.08326911397877222,-0.3265061719041856
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sleep,sleep,True,0.004542467243249114,-0.010527146219997386,0.025420652880801843,0.015239547195284356,0.42512706163936614,0.25059054496699545
MICROCHIP_OVAL,MICROCHIP_SQUARE,microchip,microchip,True,0.004528216065404011,-0.013223413773943515,0.02288066270953237,0.014745548939840557,-0.04934122227753553,-0.8357151189557046
UV_VISOR_ORANGE,UV_VISOR_YELLOW,visor,visor,True,0.004478169328373186,-0.005006023614130414,0.009856762567578226,0.006726443585510907,-0.2719269832491669,-0.471184516308182
UV_VISOR_AMBER,UV_VISOR_ORANGE,visor,visor,True,0.004415094455558997,0.001570855401759431,0.00850135163353181,0.0029625328431635324,-0.0939137932314767,-0.5881068458809053
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,galaxy,True,0.004225543425678171,0.0001122838072927778,0.007401266561790386,0.0030486661991255297,-0.1552671788082918,-0.5933312549377296
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,galaxy,galaxy,True,0.004091715810142945,-0.0035041605536234375,0.012987728009492836,0.006795261191339529,-0.17812115614766066,-0.6150178498861929
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,translator,translator,True,0.0037525486821252604,-0.005133480149064721,0.011672089561623267,0.006894798403906755,0.21010206590219646,-0.4423165128057341
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sleep,sleep,True,0.0032448062115528996,-0.0003818932079544282,0.007042602957245197,0.003033451449865507,0.42770942810880963,0.23495629505860693
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,oxygen,oxygen,True,0.0030053258041474445,-0.0017192498393199763,0.007678468672970326,0.0038367748875665257,-0.06141707715989477,-0.5460097237349956
TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,translator,translator,True,0.002973067813503769,-0.0021100296466853804,0.012890523402793248,0.0070134352893977455,-0.3571701167338692,-0.539065503162257
MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,microchip,microchip,True,0.002903749244159657,-0.005658904392641206,0.009442821956342919,0.006329122872286887,-0.28702959584914495,-0.8813090460544283
MICROCHIP_OVAL,MICROCHIP_RECTANGLE,microchip,microchip,True,0.0028516775198719493,-0.000621599470098527,0.005556294618850357,0.002580015809329127,0.2298009215014887,-0.34745343130901285
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,oxygen,oxygen,True,0.002824198120675811,-0.0023124125215604053,0.00865607987874218,0.004504775823297957,-0.09149071926665768,-0.3875444726323792
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,galaxy,True,0.002053222751759915,-0.0025912786313555163,0.005146987893048796,0.0033440274489966787,0.11060410811709868,-0.14213582404693648
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sleep,sleep,True,0.00182775962665985,-0.014231059368432393,0.013668645184895073,0.011774027925878713,-0.32839709371425335,-0.7556821603870696
PANEL_2X2,PANEL_4X4,panel,panel,True,0.0015081558474611696,0.00041647235038741546,0.0030014225469996115,0.0010928384086459455,-0.47822817049893623,-0.7694418601365164
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,microchip,microchip,True,0.0014744300133687123,-0.0013917411689878983,0.003712764470943678,0.002130669483481929,0.36012077978493773,-0.07200778210597317
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,galaxy,True,0.001200405536621672,-0.004279629178424994,0.004881883954901589,0.003950479657586604,-0.06868391584045597,-0.4467967632413642
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,galaxy,galaxy,True,0.0006518597814711516,-0.015049113129642987,0.013931105669357914,0.011954408998099506,0.225011363559107,-0.47885688438430674
ROBOT_DISHES,ROBOT_IRONING,robot,robot,True,0.0003920689740929315,-0.010243366846887331,0.009176134116654461,0.008035335896730625,0.1019900015225919,-0.3457422659982238
PANEL_1X4,PANEL_4X4,panel,panel,True,0.0003604378640055759,-0.005725350456185555,0.005197837621243133,0.00454590401327063,-0.207923785952748,-0.38209956297577125
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,galaxy,galaxy,True,-0.00019893302803540366,-0.004139157611250684,0.007283913454815342,0.005293660711198587,-0.0006368175705060986,-0.3794930473442386
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,sleep,sleep,True,-0.0004987608857963888,-0.012829968929259736,0.01290857438257531,0.010535232644384078,0.4456935876182366,0.30531802478626674
ROBOT_IRONING,ROBOT_MOPPING,robot,robot,True,-0.0007188765697979735,-0.013856987219453073,0.007126647690170723,0.0093483273557115,-0.25028756318272705,-0.9129623056436318
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,galaxy,galaxy,True,-0.0011662025886737444,-0.011261697010364087,0.007926110044945941,0.007865441931762376,-0.08187018770004571,-0.6253693091533747
UV_VISOR_AMBER,UV_VISOR_RED,visor,visor,True,-0.0014436937171396786,-0.010906848135448389,0.010127489617786591,0.008715644195516604,-0.20961567653896054,-0.5088653161093984
ROBOT_LAUNDRY,ROBOT_VACUUMING,robot,robot,True,-0.0015374694637330065,-0.014379760087613776,0.007638304148220592,0.009355258714484086,0.3923335747828947,0.03505709131833246
ROBOT_DISHES,ROBOT_LAUNDRY,robot,robot,True,-0.0017396693508210826,-0.016574636842056945,0.007927457520969561,0.010649509833623167,0.13459397096252051,-0.10181198761502777
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,translator,translator,True,-0.001756626027011471,-0.00962331324836352,0.008391381253525029,0.0075293036600747,0.5600363558608975,0.22604260784770974
UV_VISOR_AMBER,UV_VISOR_YELLOW,visor,visor,True,-0.002104749021613306,-0.007056267389756604,0.006717778703175165,0.006254045172098779,-0.22833073116525973,-0.9089210632974282
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sleep,sleep,True,-0.002826766717263878,-0.018437751299496482,0.010859144971701543,0.012037620529396671,-0.04533221083269914,-0.4112016568898933
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_GRAPHITE_MIST,translator,translator,True,-0.0032741089338022534,-0.00653293420328744,0.0011224143905088646,0.0032271616188327473,0.322114968205006,-0.19489423192476824
ROBOT_MOPPING,ROBOT_VACUUMING,robot,robot,True,-0.0037817207904325616,-0.011839618538519543,0.003388179268445945,0.006248352392670429,-0.18779891382324307,-0.8381698692808639
ROBOT_DISHES,ROBOT_MOPPING,robot,robot,True,-0.004122858578408142,-0.011206596247978151,0.0020665514113554577,0.005455515783484286,-0.4115204395507989,-0.7342335702087939
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,translator,translator,True,-0.00434725125933219,-0.008383079477007664,0.0028479399659472483,0.005100335308740011,0.21798594195364088,-0.22431340138820158
PEBBLES_S,PEBBLES_XS,pebbles,pebbles,True,-0.006473849242389249,-0.017087355637082007,0.00813908435406842,0.01067988396046328,0.5168384268753337,0.09957458869883794
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sleep,sleep,True,-0.007171806751532714,-0.025015382559019642,0.0018854890825832865,0.012617798555937915,0.7403890215009227,0.6236548994773118
PANEL_2X2,PANEL_2X4,panel,panel,True,-0.008114532019391493,-0.014368330814355727,0.0016592591246392954,0.007000650894322085,0.13107724889905217,-0.04082697969506974
ROBOT_IRONING,ROBOT_LAUNDRY,robot,robot,True,-0.00843007509674684,-0.017543330573751823,0.005512802120458644,0.010012999827501685,-0.1790024852234596,-0.7651384230327585
ROBOT_LAUNDRY,ROBOT_MOPPING,robot,robot,True,-0.009514826824947791,-0.022625320246053217,0.004689796973573488,0.011178155725717159,-0.3700114219393258,-0.7279804558949015
PEBBLES_S,PEBBLES_XL,pebbles,pebbles,True,-0.4956552615713877,-0.4966264118894604,-0.4950091663535865,0.0006991024695924569,-0.6015526118359433,-0.8687397324053033
PEBBLES_XL,PEBBLES_XS,pebbles,pebbles,True,-0.4973147706140419,-0.5026778207066422,-0.4944941840837843,0.0037939484988708306,-0.5631527333673166,-0.8752367843295419
PEBBLES_L,PEBBLES_XL,pebbles,pebbles,True,-0.5000068648048298,-0.5030032989927221,-0.49516333915553135,0.003456882286327854,-0.7388443149374894,-0.844715298348165
PEBBLES_M,PEBBLES_XL,pebbles,pebbles,True,-0.5114973416178819,-0.5158406968957234,-0.5042247771247601,0.005174784890957682,-0.3046381893103451,-0.5706247514278902
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,snack,snack,True,-0.8309330841744232,-0.8338247744427381,-0.8290157627756648,0.0020806560382056476,-0.7163859705052741,-0.9021048860757658
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,snack,snack,True,-0.915909363916881,-0.9200322678853362,-0.9122522715146096,0.003193203323051689,-0.9717895712510827,-0.9801159470961043
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,snack,snack,True,-0.9237508357731316,-0.9320945305828884,-0.9176297728796091,0.006110775909813855,-0.810136581273951,-0.8972814445228678
